Domain,Candidate,Current_Descriptions,Suggested_Description
patryan.house.gov,Pat Ryan,Current NY-18 candidacy is clear; no AI policy or AI regulation position found,Pat Ryan (U.S. House Website)
perry.house.gov,Scott Perry,Official site news and vote pages show no clear AI safety or AI regulation record found,Scott Perry (U.S. House Website)
pou.house.gov,Nellie Pou,Official congressional site and press releases show transportation and homeland-security work but no substantive AI policy or AI regulation position found after broader search,Nellie Pou (U.S. House Website)
pressley.house.gov,Ayanna Pressley,"Publicly called for Congress to regulate AI and prevent exploitation of Black and marginalized communities, warning against broad federal preemption of state AI protections | Reintroduced the AI Civil Rights Act to require testing transparency and guardrails for AI systems making critical decisions that affect rights livelihoods and civil liberties",Ayanna Pressley (U.S. House Website)
pressley.house.gov,Katherine Clark,Joined reintroduction of the AI Civil Rights Act and said AI innovation must not come at the expense of civil rights justice and accountability,Katherine Clark (U.S. House Website)
raskin.house.gov,Jamie Raskin,Has a substantial congressional record on AI oversight and democratic accountability,Jamie Raskin (U.S. House Website)
reed.senate.gov,Jack Reed,Co-sponsored Preserving American Dominance in AI Act and bipartisan extreme AI risk framework; championed military AI via NDAA; opposed federal preemption of state AI rules,Jack Reed (U.S. Senate Website)
republicanpolicy.house.gov,Kevin Hern,"As House Republican Policy Committee Chair, hosted AEI AI governance forum framing policy around 'innovation, competitiveness, and security'; Trump-endorsed frontrunner",Kevin Hern (U.S. House Website)
republicans-science.house.gov,Randy Feenstra,NOTE: Trustworthy AI subcommittee hearing was September 2022 (not recent); opening statement as Ranking Member of House Science Research & Technology Subcommittee,Randy Feenstra (U.S. House Website)
ricketts.senate.gov,Pete Ricketts,Chairs Senate Foreign Relations AI/China subcommittee; called for 'stable regulatory environment to win the AI race'; praised rescission of Biden's AI Diffusion Rule; spoke at AI+ Expo on innovation as key to competition,Pete Ricketts (U.S. Senate Website)
riley.house.gov,Josh Riley,Current congressional and campaign materials focus anti-corruption affordability and corporate PAC reform with no substantive AI policy or AI regulation position found after broader search,Josh Riley (U.S. House Website)
risch.senate.gov,Jim Risch,"American Voices in Federal Lands Act (July 2024) — blocks AI bots and foreign actors from flooding BLM public comment systems via CAPTCHA requirements | As Senate Foreign Relations Chair convened AI/China competitiveness hearing; co-introduced bipartisan TEST AI Act directing NIST/DOE to build AI testing infrastructure; champions U.S. AI leadership with international standards | TEST AI Act (reintroduced, 119th Congress with Luján) — directs NIST + DOE to build AI evaluation testbeds and standards focused on safety, security, privacy, and bias",Jim Risch (U.S. Senate Website)
ritchietorres.house.gov,Ritchie Torres,Introduced the AI Disclosure Act to require disclaimers on AI-generated material and explicitly called for a regulatory framework to manage existential AI risks,Ritchie Torres (U.S. House Website)
rivas.house.gov,Luz Rivas,Fought the federal AI moratorium and defended state authority to regulate AI harms and emerging technology risks | Introduced the AI for ALL Act to improve national AI literacy and education while emphasizing safe and responsible AI use,Luz Rivas (U.S. House Website)
robertgarcia.house.gov,Robert Garcia,Co-sponsored the NO FAKES Act to protect voice and likeness rights against AI generated digital replicas | Serves on the House Democratic Commission on AI and Innovation and has a direct legislative record on AI harms,Robert Garcia (U.S. House Website)
robinkelly.house.gov,Robin Kelly,"Kelly tech platform: ensure workers 'prepared to work with AI as a positive tool' — no safety regulation positions; bipartisan work with Hurd to cut China AI chip access and push US AI development | Kelly-Hurd bipartisan plan: cut China's AI chip access, push US resources toward AI development — arms race framing, no safety dimension",Robin Kelly (U.S. House Website)
rounds.senate.gov,Mike Rounds,Co-chaired bipartisan Senate AI Working Group with Schumer/Young/Heinrich; released 2024 national AI policy roadmap; introduced 5-bill AI package; said Congress is 'three years behind' on regulation,Mike Rounds (U.S. Senate Website)
rulli.house.gov,Michael Rulli,No AI policy or AI regulation position found,Michael Rulli (U.S. House Website)
salinas.house.gov,Andrea Salinas,"Introduced bipartisan NSF Artificial Intelligence Education Act to expand AI scholarships and centers of excellence, with explicit support for responsible AI education",Andrea Salinas (U.S. House Website)
sarajacobs.house.gov,Sara Jacobs,Jacobs backed keeping humans in the loop for nuclear launch decisions and pressed to prevent autonomous AI from launching nuclear weapons | Jacobs served on the bipartisan House AI Task Force and explicitly argued for guardrails around bias discrimination and emerging harms,Sara Jacobs (U.S. House Website)
scag.gov,Alan Wilson,"Led 28-AG coalition demanding Meta answer for AI chatbots exposing children to sexually explicit content and minor grooming simulation: ""We will not allow Big Tech to create new avenues for abuse"" | Led 44-AG coalition demanding Big Tech end predatory AI targeting of children; championed AI-CSAM criminal laws; fought federal proposal to strip states of AI regulatory authority; urged DeepSeek ban on government devices | Led coalition demanding Visa, Mastercard, PayPal, Apple Pay disclose safeguards against payments for AI deepfake pornography",
schmidt.house.gov,Derek Schmidt,Cosponsored bipartisan legislation closing loopholes for AI-generated child sexual abuse material,Derek Schmidt (U.S. House Website)
scholten.house.gov,Hillary Scholten,Advanced aviation-supply-chain digitization legislation explicitly framed around safety and security,Hillary Scholten (U.S. House Website)
schrier.house.gov,Kim Schrier,Joined Seniors Deserve SMARTER Care Act effort to block Medicare prior authorization systems that would use AI to deny care,Kim Schrier (U.S. House Website)
schweikert.house.gov,David Schweikert,'We're in trouble' on AI adoption pace – op-ed on regulating AI | Dedicated Innovation & AI issues page | NDAA amendments passed to expand AI integration in Dept of Defense | Official press release on AI-powered wearables reimbursement bill and broader healthcare AI deployment | Op-ed: Using AI to stabilize national debt,David Schweikert (U.S. House Website)
science.house.gov,Mike Collins,Federal Science Agencies and the Promise of AI hearing – opening statement (chaired),Mike Collins (U.S. House Website)
scottpeters.house.gov,Scott Peters,No AI policy or AI regulation position found,Scott Peters (U.S. House Website)
sd10.senate.ca.gov,Aisha Wahab,Campaign materials identify Wahab as an active CA-14 candidate with no AI policy or AI regulation position found after broader search,
sd11.senate.ca.gov,Scott Wiener,Authored California SB 53 creating transparency requirements safety incident reporting and whistleblower protections for frontier AI developers | Built the bill around explicit responsible AI development and governance guardrails for large scale AI systems,
sewell.house.gov,Terri Sewell,Backed Birmingham tech hub investments using AI driven biotechnology while maintaining a broader pro governance posture on election AI harms | Led a bipartisan letter urging federal action against AI generated election intimidation misinformation and voter suppression,Terri Sewell (U.S. House Website)
sheribiggs.house.gov,Sheri Biggs,Incumbent SC-03 candidacy reviewed; no AI policy or AI regulation position found,Sheri Biggs (U.S. House Website)
shontelbrown.house.gov,Shontel Brown,Co-led the AI Talent Act and said the federal government needs talent to use AI responsibly and strengthen U.S. leadership in safe deployment | Demanded oversight and privacy safeguards for surveillance technologies capable of dragnet data collection,Shontel Brown (U.S. House Website)
shreve.house.gov,Jefferson Shreve,Introduced bipartisan legislation to strengthen export-control staffing for sensitive dual-use technologies and paired it with anti-surveillance cyber legislation,Jefferson Shreve (U.S. House Website)
simon.house.gov,Lateefah Simon,Current House materials emphasize STEM and scientific research support; no AI policy or AI regulation position found,Lateefah Simon (U.S. House Website)
simpson.house.gov,Mike Simpson,Current ID-02 candidacy is clear; no AI policy or AI regulation position found,Mike Simpson (U.S. House Website)
sorensen.house.gov,Eric Sorensen,"Reintroduced the QUIET Act to require disclosure of AI robocalls and increase penalties for AI impersonation scams, explicitly framing AI misuse as a consumer-protection threat",Eric Sorensen (U.S. House Website)
spartz.house.gov,Victoria Spartz,Current IN-05 candidacy is clear; no AI policy or AI regulation position found,Victoria Spartz (U.S. House Website)
stansbury.house.gov,Melanie Stansbury,Warned that DOGE staff fed sensitive federal data into AI software and framed that misuse of AI and government data as a grave security and privacy threat,Melanie Stansbury (U.S. House Website)
stanton.house.gov,Greg Stanton,Backed CHIPS Act investments for Arizona semiconductor packaging and AI hardware supply chains but not a broader AI safety framework,Greg Stanton (U.S. House Website)
stauber.house.gov,Pete Stauber,Praised federal action to expand coal power specifically for AI data demand,Pete Stauber (U.S. House Website)
steil.house.gov,Bryan Steil,As chair of the House AI and fintech subcommittee he backs innovation friendly AI rules while also calling for consumer protections,Bryan Steil (U.S. House Website)
stevens.house.gov,Haley Stevens,Co-led letter urging $10M additional funding for NIST AI Safety Institute (USAISI) — direct pro-safety-regulation position | Led Small Business Artificial Intelligence Advancement Act (H.R.3679) directing NIST to provide AI safety resources and standards to help small businesses 'safely' adopt AI; passed full House,Haley Stevens (U.S. House Website)
strickland.house.gov,Marilyn Strickland,Hosted forum on Black innovation and artificial intelligence and discussed federal AI policy plus inclusive entrepreneurship in AI | Supports investment in minority-owned businesses and inclusive growth in emerging tech sectors including AI,Marilyn Strickland (U.S. House Website)
strong.house.gov,Dale Strong,Serves on the Armed Services cyber and innovative technologies subcommittee with explicit jurisdiction over defense AI and frames AI through national security and industrial base priorities,Dale Strong (U.S. House Website)
stutzman.house.gov,Marlin Stutzman,Current IN-03 candidacy is clear; no AI policy or AI regulation position found,Marlin Stutzman (U.S. House Website)
suozzi.house.gov,Tom Suozzi,Official materials highlight science education and app challenges but no substantive AI policy or AI regulation position found after broader search,Tom Suozzi (U.S. House Website)
susielee.house.gov,Susie Lee,Official office materials show anti-fraud work but no broader AI governance agenda beyond the child-safety bill,Susie Lee (U.S. House Website)
swalwell.house.gov,Eric Swalwell,Current House and campaign materials focus national security and democracy issues with no clear AI policy or AI regulation position found after broader search | Swalwell serves on House Courts/IP/Artificial Intelligence/Internet subcommittee — key AI oversight role in Congress,Eric Swalwell (U.S. House Website)
sykes.house.gov,Emilia Sykes,Passed committee amendment to help small manufacturers safely utilize artificial intelligence through Manufacturing Extension Partnerships | Pressed for consumer protections and guardrails as AI data centers expand across Ohio,Emilia Sykes (U.S. House Website)
sylviagarcia.house.gov,Sylvia Garcia,On her official site elevated concerns that artificial-intelligence lending tools can discriminate against women and minorities. | Serves on the House Financial Services Subcommittee on Digital Assets Financial Technology and Artificial Intelligence and has stated she will work to prevent emerging financial services from becoming exclusionary,Sylvia Garcia (U.S. House Website)
takano.house.gov,Mark Takano,Warned publicly about the need for Congress to prepare for AI and other emerging technologies rather than treat them as peripheral issues,Mark Takano (U.S. House Website)
tenney.house.gov,Claudia Tenney,"Cosponsored and publicly backed the DEFIANCE Act to give victims civil remedies against AI-generated non-consensual explicit forgeries, arguing law must keep pace with emerging technology | Supports banning Chinese AI tools from government devices as part of an America First technology-security posture",Claudia Tenney (U.S. House Website)
texasattorneygeneral.gov,Ken Paxton,First-of-its-kind settlement with healthcare AI company (Pieces Technologies) over false safety claims | Investigated Meta AI Studio and Character.AI for deceptive mental health marketing to children | Launched data privacy and security initiative targeting Big Tech and AI companies,
thanedar.house.gov,Shri Thanedar,Introduced digital literacy legislation and STEM-retention legislation | Voted for a federal regulatory framework for digital assets and framed emerging technology policy as requiring consumer protections while keeping innovation in the U.S.,Shri Thanedar (U.S. House Website)
tiffany.house.gov,Tom Tiffany,Wants coal / natural gas / nuclear to power AI data centers,Tom Tiffany (U.S. House Website)
tlaib.house.gov,Rashida Tlaib,Called for prohibiting federal funds for facial-recognition software and framed such systems as discriminatory mass-surveillance tools that should not be deployed,Rashida Tlaib (U.S. House Website)
tokuda.house.gov,Jill Tokuda,Backed U.S.-Taiwan defense innovation legislation explicitly prioritizing joint work on artificial intelligence and other emerging technologies,Jill Tokuda (U.S. House Website)
tonko.house.gov,Paul Tonko,Found support for STEM and app-development education; no AI governance or regulation position found,Paul Tonko (U.S. House Website)
torres.house.gov,Norma Torres,Introduced the International Artificial Intelligence Research Partnership Act to build AI collaboration around security democracy and human dignity,Norma Torres (U.S. House Website)
trahan.house.gov,Lori Trahan,Warned against Palantir building AI-powered profiles on Americans from pooled government data and framed the practice as a serious privacy and civil-liberties threat,Lori Trahan (U.S. House Website)
tuberville.senate.gov,Tommy Tuberville,"Co-signed bipartisan letter to Pentagon demanding inquiry into Chinese AI app DeepSeek on government devices (Feb 2025); AI focus primarily on national security vs. China, not consumer protection or domestic regulation",Tommy Tuberville (U.S. Senate Website)
turner.house.gov,Mike Turner,Found strong support for defense technology and microelectronics development; no AI policy or AI regulation position found,Mike Turner (U.S. House Website)
valadao.house.gov,David Valadao,Reintroduced bill to expand VA automation tools and AI document labeling for claims processing,David Valadao (U.S. House Website)
vanorden.house.gov,Derrick Van Orden,Official press releases and campaign materials emphasize defense innovation and veterans issues but no specific AI policy or AI regulation position found after broader search,Derrick Van Orden (U.S. House Website)
vargas.house.gov,Juan Vargas,No AI policy or AI regulation position found,Juan Vargas (U.S. House Website)
vindman.house.gov,Eugene Vindman,Introduced AI Sovereignty Act and related package to track offshore AI development and protect U.S. technological leadership,Eugene Vindman (U.S. House Website)
vote.utah.gov,Ben McAdams,Filed UT-01 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Celeste Maloy,Filed UT-03 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Dave Robinson,Filed UT-01 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,David Harris,Filed UT-03 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Jesse West,Filed UT-01 Libertarian candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Jonny Larsen,Filed UT-04 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Karianne Lisonbee,Filed UT-02 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Michael Farrell,Filed UT-01 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Mike Kennedy,Filed UT-04 Republican candidacy under the new map; no AI policy or AI regulation position found,
vote.utah.gov,Peter Crosby,Filed UT-02 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Phil Lyman,Filed UT-03 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Riley Owen,Filed UT-01 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Scott Hatfield,Filed UT-04 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Seth Stewart,Filed UT-04 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Steven Merrill,Filed UT-03 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Taylor Wright,Filed UT-04 Libertarian candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Tyler Farnsworth,Filed UT-02 Democratic candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Tyler Murset,Filed UT-03 Republican candidacy; no AI policy or AI regulation position found,
vote.utah.gov,Tyrone Jensen,Filed UT-04 Republican candidacy; no AI policy or AI regulation position found,
walberg.house.gov,Tim Walberg,Leads wireless and 6G standard-setting legislation emphasizing U.S. tech leadership and competition,Tim Walberg (U.S. House Website)
warner.senate.gov,Lindsey Graham,Co-signed Tech Accord on AI deepfakes in elections; supported Sunset Section 230 Act for AI deepfake liability; chaired 2023 Judiciary AI oversight hearing; pro-accountability but no comprehensive framework,Lindsey Graham (U.S. Senate Website)
warner.senate.gov,Mark Warner,"AI-Related Job Impacts Clarity Act (S.3108, Nov 2025) co-introduced with Josh Hawley — requires companies and federal agencies to report quarterly AI-driven job losses and workforce impacts to Dept. of Labor | Introduced bipartisan Secure AI Act of 2024 with Tillis – voluntary incident reporting database | Statement praising OpenAI for adding safety/detection mechanisms (Dec 2024) | Urged federal agencies to disclose and secure AI use (2025)",Mark Warner (U.S. Senate Website)
warner.senate.gov,Mike Rounds,"Co-introduced Economy of the Future Commission Act with Warner (March 2026) — bipartisan federal commission to study AI workforce impacts and deliver legislative recommendations on training, re-skilling, and unemployment insurance",Mike Rounds (U.S. Senate Website)
webster.house.gov,Daniel Webster,"Backed legislation banning IRS biometric data collection, showing a narrower privacy-and-biometric-governance signal relevant to AI-adjacent surveillance concerns | Introduced the USA Act to shape standards for emerging technologies like AI around private-sector-led consensus rules",Daniel Webster (U.S. House Website)
whitesides.house.gov,George Whitesides,Helped lead House Democrats pushing back against the federal AI moratorium and warned it would block states from protecting consumers | Questioned AI data center energy and water impacts in Science Committee oversight,George Whitesides (U.S. House Website)
williams.house.gov,Roger Williams,"Backed the bipartisan TAKE IT DOWN Act and said AI-generated deepfakes are being used to exploit victims, supporting takedown and accountability rules for abusive synthetic imagery. | Introduced the Blue Shield Privacy Act to update federal law for modern digital threats, explicitly adding biometric data and GPS coordinates to protected personal information. | TX-25 general-election candidacy reviewed; no AI policy or AI regulation position found",Roger Williams (U.S. House Website)
wittman.house.gov,Rob Wittman,"Cosponsored National AI Commission Act; quote: ""While AI can lead to impressive advancements, it can also lead to serious harm without proper regulation. Congress must take action to ensure AI advancements are thoughtfully and responsibly regulated.""",Rob Wittman (U.S. House Website)
www1.maine.gov,Hannah Pingree,"Served as Director of Governor Mills Office of Policy Innovation and the Future (2019-May 2025), administratively overseeing Maine AI Task Force (created Dec 2024 exec order); framed AI as holding ""tremendous promise"" while calling for ensuring benefits reach Maine people and ""minimizing disruptions""; task force produced 33 recommendations on workforce, procurement transparency, and privacy",
wyden.senate.gov,Jeff Merkley,Co-sponsored Eliminating BIAS Act — mandates civil rights offices in every federal agency that uses or oversees AI,Jeff Merkley (U.S. Senate Website)
yakym.house.gov,Rudy Yakym,Current IN-02 candidacy is clear; no AI policy or AI regulation position found,Rudy Yakym (U.S. House Website)
youngkim.house.gov,Young Kim,Served on the bipartisan House Financial Services AI Working Group and explicitly emphasized both AI opportunity and consumer risk,Young Kim (U.S. House Website)
